Question,A,B,C,D,Explanation,Answer
True statement (s) about sugammadex:,Antisuccinylcholine in action,Selectively binds to rocuronium,Used along with rocuronium for rapid induction Anesthesia,Discovered to reverse the effects of atracurium,"B. Selectively binds to rocuroniumSugammadex Morgan 5th/23lSugammadex is a novel selective relaxant-binding agentIts three-dimensional structure resembles a hollow truncated cone or doughnut with a hydrophobic cavity and a hydrophilic exterior.Hydrophobic interactions trap the drug (e.g., rocuronium) in the cyclodextrin cavity (doughnut hole), resulting in tight formation of a water-soluble guest-host complex in a 1:1 ratio. This terminates the neuromuscular blocking action and restrains the drug in extracellular fluid where it cannot interact with nicotinic acetylcholine receptors.It is essentially eliminated unchanged via the kidneys.It produces rapid and effective reversal of both shallow and profound rocuronium-induced neuromuscular blockade in a consistent manner.* Barash 6th/Chap 20Sugammadex, previously called ORG 25969, leads to restoration of normal neuromuscular function not by interfering with acetylcholine, the nicotinic receptor or acetylcholinesterase, but by selectively binding to rocuronium, and to a lesser extent to vecuronium and pancuronium.Selective relaxant binding agent for reversal of neuromuscular blockade (NMB) induced by rocuronium or vecuronium in adults undergoing surgery""-reference.medscape.comThe compound is a cyclodextrin, made up of eight sugars arranged in a ring to make a center to accommodate the rocuronium molecule. Once bound, rocuronium is held in place by polar side chains attached to the ring.Because sugammadex does not bind to any known receptory it is devoid of major cardiovascular or other side effects.It does not bind neuromuscular blocking drugs that do not have a steroid nucleus.The benzylisoquinolines, such as atracurium, cisatracurium and mivacurium, and succinylcholine are unaffected by sugammadex.After injection of sugammadex, evidence suggests that binding of rocuronium to sugammadex in plasma leads to a marked decrease in free (unbound) rocuronium concentration, 153 leading to the establishment of a concentration gradient of rocuronium between the neuromuscular junction and plasma. This favors movement of rocuronium from neuromuscular junction to plasma, producing less neuromuscular block. Vecuronium has less affinity for sugammadex than rocuronium does, and pancuronium has less still.Sugammadex could also be used in the case of a failed intubation. If rocuronium 0.6 mg/kg was given, sugammadex 8 mg/kg might be effective as early as 3 minutes after rocuronium injection, and if the dose of rocuronium is doubled to 1.2 mg/ kg, one might need 16 mg/kg of sugammadex. The availability of sugammadex might make succinylcholine obsolete for intubation.",B
Which of the following anaesthesia will produce decreased EEG activities –,Hypothermia,Early hypoxia,Ketamine,N2O,"Activation of EEG :- Inhalational agent (subanesthetic doses), Barbiturates (small dose), Benzodiazepines (small doses), Etomidate (small doses), Nitrous oxide, Ketamine, Mild hypercapnia, Sensory stimulation, Hypoxia (early).
Depression of EEG :- Inhalational agents (1-2 MAC), Barbiturates, opioids, propofol, etomidate, hypocapnia, marked hypercapnia, Hypothermia, Ischemia, Hypoxia (late).",A
Best uterine relaxation is seen with –,Chloroform,Nitrous oxide,Ether,Halothane,"All fluorinated inhalational agents (including halothane) can cause uterine relaxation. Traditionally, Halothane is considered as to posseses maximum uterine relaxant property.",D
For high pressure storage of compressed gases cylinders are made up of.,Molybdenum steel,Iron + Mo,Steel + Cu,Cast iron,A i.e. Molybdenum Steel,A
Which of the following is not seen in scoline apnea ?,It is due to succinylcholine,It can be inherited,Patients usually do not die of scoline apnea if they are properly managed,It occurs due to deficiency of cholinesterase,"Succinylcholine apnoea occurs due to deficiency of ""pseudocholinesterase or plasma cholinesterase"".",D
Which among the following is a depolarising muscle relaxant?,Decamethonium,D tubocurarine,Doxacurium,Atracurium,"Ans. is 'a' i.e., Decamethonium Morgan 4th/e p. 214] See explanation-4 of session-3.",A
The major advantage of volume control ventilation:-,Constant tidal volume,Variable minute ventilation,Patient comfo more,All of the above,"Volume - controlled ventilation, where the inflation volume is preselected, and the ventilator automatically adjusts the inflation pressure to deliver the desired volume. the rate of lung inflation can be constant or decelerating. Advantages of volume control ventilation Guaranteed tidal volumes produce a more stable minute volume.The reliability of the minute volume makes this mode of ventilation more appropriate in situations where careful control of PaCO2is of impoance. Volume controlled modes were the standard of care for patients with severe traumatic brain injury where tight PaCO2 control is necessary. The minute volume remains stable over a range of changing pulmonary characteristics.If airway resistance fluctuates significantly (eg. in the course of therapy for status asthmaticus) this mode has the advantage of maintaining a reliable minute volume. The initial flow rate is lower than in pressure-controlled modes. This is an advantage if airway resistance is high; blowing more slowly into the tight bronchi does not produce a high resistance-related early pressure peak, and potentially prevents an early termination of the breath by the pressure alarm limit. Disadvantages of volume control ventilation The mean airway pressure is lower with volume control ventilation,due to the slopy shape of the pressure waveform. This can theoretically be a disadvantage in patients who have severe hypoxia; in those people one might want to use a pressure-controlled mode instead. One wa of getting around this is to use an inspiratory pause, which is discussed elsewhere (in summary, it doesn't work and possibly increases the work of breathing). Recruitment may be poorer in lung units with poor compliance.Units with a long time constant and poor compliance may remain unrecruited until very late in the inspiratory phase when pressure approaches its maximum value. These units will have little time for gas exchange before the ventilator cycles to expiration. From this, one might expect that with a volume-controlled mode the degree of atelectasis will be greater than with a pressure controlled mode, peak aiway pressures being equal. In the presence of a leak, the mean airway pressure may be unstable.The constant flow used during VCV may not be able to compensate for an intermittent leak.Consider: if the leak flow rate is equal to the inspiratory flow rate, there will be no volume delivered. Insufficient flow may give rise to patient-ventilatordyssynchrony.In the presence of increased respiratory demand during the course of a breath, the ventilator may not meet the patient's need for increased flow.",A
Fixed performance device is –,Ventury mask,Nasal cannula,Simple mask,Non rebreathing mask,"Ventimask (venturi mask) is a fixed performance (high flow) oxygen delivery device.
Nasal cannula, non-rebreathing mask (Hudson mask) and simple mask are variable performance (low flow) devices.",A
The main controlling agent for respiratory drive is which of the following -,CO2,Oxygen,NO,HBO3,"Central chemoreceptors are situated in the deeper pa of medulla oblongata, close to the dorsal respiratory group of neurons. This area is known as a chemosensitive area, and the neurons are called chemoreceptors. Chemoreceptors are in close contact with blood and cerebrospinal fluid. Central chemoreceptors are connected with respiratory centers, paicularly the dorsal respiratory group of neurons through synapses. These chemoreceptors act slowly but effectively. Central chemoreceptors are responsible for 70% to 80% of increased ventilation through chemical regulatory mechanisms. Main stimulant for central chemoreceptors is the increased hydrogen ion concentration. However, if hydrogen ion concentration increases in the blood, it cannot stimulate the central chemoreceptors because the hydrogen ions from blood cannot cross the blood-brain barrier and blood-cerebrospinal fluid barrier. On the other hand, if carbon dioxide increases in the blood, it can easily cross the blood-brain barrier and bloodcerebrospinal fluid barrier and enter the interstitial fluid of the brain or the cerebrospinal fluid. There, carbon dioxide combines with water to form carbonic acid. Since carbonic acid is unstable, it immediately dissociates into hydrogen ion and bicarbonate ion. CO2 + H2O - H2CO3 - H+ + HCO3- Hydrogen ions stimulate the central chemoreceptors. From chemoreceptors, the excitatory impulses are sent to the dorsal respiratory group of neurons, resulting in increased ventilation (increased rate and force of breathing). Because of this, excess carbon dioxide is washed out and respiration is brought back to normal. Lack of oxygen does not have a significant effect on the central chemoreceptors, except that it generally depresses the overall function of the brain. Ref: Sembulingam - physiology 7th edition",A
All are true about halothane except,Tachycardia,Hepatitis,Bronchodilatation,Uterine relaxation,Halothane causes bradycardia.,A
Which of the following determines the speed of recovery from IV anesthetic agents?,Liver metabolism of drug,Protein binding of drug,Redistribution of the drug from sites in the CNS,Plasma clearance of the drug,IV anesthetic agents are give by infusion . Infusion maintains the serum concentration of anesthetic agent high which causes the drug to attach to highly perfused organ i.e CNS . Once the infusion is stopped the serum concentration decreases and drug detaches from CNS and gets redistributed to other organs Hence redistribution of drug from CNS determines the speed of recovery from IV anesthetic,C
