Question,A,B,C,D,Explanation,Answer
Acute mesenteric lymphadenitis is caused by?,E. Coli,Alpha Hemolytic streptococci,Hemophilus influenza,Yersinia,"Acute mesenteric lymphadenitis is the diagnosis usually given when enlarged, slightly reddened lymph nodes are encountered at the root of mesentery along with normal appendix, when a patient suspected of appendicitis is opened up. Whether this is a single, discrete entity is unclear, since the causative factor is not known. Some of these patients have infection with Y. pseudotuberculosis or Y. enterocolitica, in which case the diagnosis can be established by culture of the mesenteric nodes by serological titres. Children seem to be affected more frequently than men. Ref: Harrison 17/e, Page 1916",D
A patient presents to you with the features of biliary obstruction. He gives history of the consumption of fish while on the trip. Which of the following is most probable etiology?,Clonorchis sinensis,Ancylostoma,Strongyloides,Enterobius,"Ans. a. Clonorchis sinensis (Ref: Harrison 19/e p1428, 18/e p2008, 17/e p1330; http//www.ncbi.nlm.nih.gov/pubmed/12483392; www.ncbi.nlm.gov/pnbmed/3993073)",A
Shortest acting non depolarising muscle relaxant:,Vecuronium,Atracurium,Succinylcholine,Mivacurium,Ans. is 'd' i.e. Mivacurium Shortest acting non depolarizing muscle relaxant is - Mivacurium*Longest acting non depolarizing muscle relaxant is - Pipecuronium*Most potent N.D muscle relaxant - Doxacurium*Least potent N.D muscle relaxant - Gallamine*Shortest acting depolarizing M.R. - Succinylcholine*Overall shortest acting M.R. - Succinylcholine*,D
Tributaries of Lt renal vein are all except:,Left lumbar vein,Left gonadal vein,Left suprarenal vein,Left diaphragmatic vein,"Ans is 'a' ie left lumbar vein (Ref. BDC (vol II), 3/e, p 272)Tributaries of left renal veinLeft gonadal veinLeft suprarenal veinLeft inferior phrenic veinOn right side they open directly into the inferior vena cava.",A
according to maastricht classification category 3 is ?,dead on arrival to hospital,resuscitation attempted with out success,awaiting cardiac arrest after withdrawal of suppo,cadiac arrest while brain dead,"Category Features Alternative categories 1 Dead upon arrival, accident and emergency Uncontrolled 2 Resuscitation attempted without success, accident and emergency Uncontrolled 3 Awaiting cardiac death, intensive care Controlled 4 Cardiac arrest while brain dead, intensive care Controlled ref : bailey and love 27th ed",C
Which type of breast cancer is most likely to be bilateral: March 2011,Infiltrating duct carcinoma,Paget's disease of breast,Lobular carcinoma of the breast,Medullary carcinoma of the breast,Ans. C: Lobular carcinoma of the breast Invasive lobular carcinoma is commonly multifocal and/ or bilateral MC of Breast pathology: MC disorder: Fibroadenosis MC tumour: Fibroadenoma MC Ca: Ductal/ Schirrous Ca MC bilateral tumour: Lobular Ca MC site: Outer upper quadrant MC involved lymph nodes: Axillary MC cause of breast discharge: Duct ectasia MC cause of bloodly discharge: Duct papilloma MC site of metastasis: Bone Breast Ca: Associated with: - Positive family history - Non breast feeding mothers - Nulliparity - Mammary dysplasia/ atypical hyperplasia/ sclerosing adenosis Peau D: lymphatic permeation First investigation: FNAC Investigation of choice: Biopsy,C
Sitz Bath consists of which of the following ?,Patient bathed in normal saline,Bathed in molten wax,Sits in a basin containing warm antiseptic lotion,Sits in a basin conatining molten wax,"Ans. is 'c' i.e., Sits in a basin containing warm antiseptic lotion",C
Use of tamoxifen in carcinoma of breast patients does not lead to the following side effects ?,Thromboembolic events,Endometrial Carcinoma,Cataract,Cancer in opposite breast,"Ans is 'd' i.e. Cancer in opposite breast Adverse effects of Tamoxifen: ? (a) Hot flushes, nausea vomiting (most common side effects)* (b) Menstrual irregularities, vaginal bleeding, discharge, pruritis vulvae & dermatitis (c) Endometrial cancer (d) Thromboembolism (e) Cataracts (f) Retinal deposits & decreased visual acuity Benefits of Tamoxifen: ? (a) Estrogen receptor positive breast cancer: used in both pre and postmenopausal women. (b) it appears to increase bone density (slows the development of osteoporosis in postmenopausal women) ourably affect lipid and lipoprotein profiles.",D
Le Forte fracture having craniofacial dysjunction is,Type-I,Type-II,Type-III,None.,"(C) Type-III # They are classified into 3 types:> Le Fort I (transverse) fracture runs above and parallel to the palate. It crosses lower part of nasal septum, maxillary antra and the pterygoid plates.> Le Fort II (pyramidal) fracture passes through the root of nose, lacrimal bone, floor of orbit, upper part of maxillary sinus and pterygoid plates. This fracture has some features common with the zygomatic fractures.> Le Fort III (craniofacial dysjunction). There is complete separation of facial bones from the cranial bones. The fracture line passes through root of nose, ethmofrontal junction, superior orbital fissure, lateral wall of orbit, frontozygomatic and temporozygomatic sutures and the upper part of pterygoid plates.",C
Which is the most common site for duodenal ulcer,Within 2 centimetres of pylorus,Second part of duodenum,Distal duodenum,Early part of jejunum.,About 95 percentage of duodenal ulcers occur within 2 centimetres of the pylorus,A
Initial fluid of choice in treatment of hypovolemia in trauma patient,Colloid,Crystalloid,Blood,Plasma expanders,The initial fluid of choice is crystalloid of which normal Saline > Ringer lactate is used.,B
"A 52-year-old woman undergoes a sigmoid resection with primary anastomosis for recurrent diveiculitis. She returns to the emergency room 10 days later with left flank pain and decreased urine output; laboratory examination is significant for a white blood cell (WBC) count of 20,000/mm3 . She undergoes a CT scan that demonstrates new left hydronephrosis, but no evidence of an intraabdominal abscess. Which of the following is the most appropriate next step in management?",Intravenous pyelogram,Intravenous antibiotics and repeat CT in 1 week,Administration of intravenous methylene blue,No fuher management if urinalysis is negative for hematuria,"The patient should undergo an intravenous pyelogram for a suspected ureteral injury. After gynecologic surgeries, colorectal surgery is the most common cause of iatrogenic ureteral injuries. Intraoperatively, intravenous administration of methylene blue or indigocyanine green may facilitate identification of an injury. However, delay in diagnosis is common, and patients may present with flank pain, fevers, and signs of sepsis, ileus, or decreased urine output. CT scan may demonstrate hydronephrosis or a fluid collection (urinoma). Initial diagnosis and management should include urinalysis, although hematuria may not always be present; percutaneous nephrostomy tube or retrograde ureteral catheterization; percutaneous drainage of fluid collections; and identification of the location of ureteral injury. Surgical management should be delayed if diagnosis is late (10-14 days), and operative strategy is dependent on the location of the injury. Diagnostic imaging such as a pyelogram or nuclear medicine scan may be helpful to identify the site of the injury.",A
A blood stained discharge from the nipple indicates one of the following,Breast abscess,Fibroadenoma,Duct papilloma,Fat Necrosis of Breast,"Discharge can occur from one or more lactiferous ducts.Discharge can be: * clear, serous - fibrocystic disease,duct ectasia,carcinoma. * blood stained - carcinoma,duct papilloma,duct ectasia. * black or green -duct ectasia. Blood stained discharge is seen in duct papilloma. Bailey and Love'sSho practice of surgery.Edition 23.Pg no:753",C
"All of the following are TRUE about cleft palate, EXCEPT:",Surgery should be done at 1 year,50% recover speech after operation,A/w hearing loss,A/w cleft lip in 45%,"Option 1 Cleft lip is repaired at 3 months, cleft palate by 12 months and alveolar bone grafting at 9 years which coincides with paial eruption of the canine teeth. Option 2 Satisfactory speech following surgical repair of cleft palate is achieved in 70-90% of cases. Significant speech defects usually require secondary operations when the child is older. The most widely used technique is the pharyngeal flap operation, in which the palatopharyngeal space is reduced by attaching a flap of posterior pharyngeal muscle and mucosa to the soft plate. This permits voluntary closure of the velopharyngeal complex and thus avoids hypernasal speech. Option 3 Eustachian tube dysfunction plays a central role in pathogenesis of otitis media with effusion in babies and children born with a cleft palate. It has been recently recognized that a child with craniofacial anomaly including cleft lip and palate is at the increased risk of sensorineural hearing deficit. Option 4 The typical distribution of cleft types is: Cleft lip alone 15% Cleft lip and palate 45% Isolated cleft palate 40% Ref: Bailey & Love 25/e, Page 658-668; Sabiston 18/e, Page 2138; CSDT 11/e, Page 1257-58",B
Most common cause of bacterial peritonitis is,Primary or spontaneous,Perforated viscus,Foreign body,Biliary peritonitis,"Peritonitis secondary to any bowel or other visceral pathology eg. perforation, appendicitis is termed as secondary peritonitis, E-Coli is the commonest organism causing this. Primary peritonitis - there is no documented infection, it&;s monomicrobial, extraperitoneal postoperative leak after surgery for gallbladder, CBD, ERCP, duodenum, pyloroplasty Reference: SRB 5th edition page no.566,573",B
